Humidity,Temperature,saveDate,Min
70,30.2,12/18/2022 16:30,0
69,30.8,12/18/2022 16:45,15
68,30.8,12/18/2022 17:00,30
68,30.2,12/18/2022 17:15,45
68,30.2,12/18/2022 17:30,60
70,30.2,12/18/2022 17:45,75
70,30.2,12/18/2022 18:00,90
72,29.8,12/18/2022 18:15,105
72,29.8,12/18/2022 18:30,120
72,29.8,12/18/2022 18:45,135
71,29.8,12/18/2022 19:00,150
71,29.8,12/18/2022 19:15,165
71,29.8,12/18/2022 19:30,180
72,29.3,12/18/2022 19:45,195
72,28.9,12/18/2022 20:00,210
72,28.9,12/18/2022 20:15,225
72,28.9,12/18/2022 20:30,240
72,28.9,12/18/2022 20:45,255
72,28.9,12/18/2022 21:00,270
72,29.3,12/18/2022 21:15,285
71,29.3,12/18/2022 21:30,300
71,29.3,12/18/2022 21:45,315
71,29.3,12/18/2022 22:00,330
71,29.3,12/18/2022 22:15,345
71,29.8,12/18/2022 22:30,360
71,29.3,12/18/2022 22:45,375
72,29.3,12/18/2022 23:00,390
72,28.9,12/18/2022 23:15,405
72,28.9,12/18/2022 23:30,420
72,28.9,12/18/2022 23:45,435
72,28.9,12/19/2022 0:00,450
72,28.9,12/19/2022 0:15,465
72,29.3,12/19/2022 0:30,480
72,29.3,12/19/2022 0:45,495
72,29.3,12/19/2022 1:00,510
72,29.3,12/19/2022 1:15,525
72,28.9,12/19/2022 1:30,540
72,29.2,12/19/2022 1:45,555
72,28.9,12/19/2022 2:00,570
72,29.3,12/19/2022 2:15,585
72,28.9,12/19/2022 2:30,600
72,29.3,12/19/2022 2:45,615
72,28.9,12/19/2022 3:00,630
72,29.3,12/19/2022 3:15,645
72,29,12/19/2022 3:30,660
72,28.9,12/19/2022 3:45,675
72,28.9,12/19/2022 4:00,690
72,28.5,12/19/2022 4:15,705
73,28.5,12/19/2022 4:30,720
73,28.5,12/19/2022 4:45,735
73,28,12/19/2022 5:00,750
72,28.5,12/19/2022 5:15,765
72,28.5,12/19/2022 5:30,780
72,28.5,12/19/2022 5:45,795
74,28.5,12/19/2022 6:00,810
73,28.5,12/19/2022 6:15,825
73,28,12/19/2022 6:30,840
73,28,12/19/2022 6:45,855
73,28,12/19/2022 7:00,870
72,28,12/19/2022 7:15,885
72,28,12/19/2022 7:30,900
73,27.9,12/19/2022 7:45,915
73,27.6,12/19/2022 8:00,930
72,28,12/19/2022 8:15,945
72,28,12/19/2022 8:30,960
73,28,12/19/2022 8:45,975
73,28.5,12/19/2022 9:00,990
74,28.5,12/19/2022 9:15,1005
74,28.5,12/19/2022 9:30,1020
73,28.5,12/19/2022 9:45,1035
76,28.6,12/19/2022 10:00,1050
75,28.9,12/19/2022 10:15,1065
76,28.9,12/19/2022 10:30,1080
74,28.9,12/19/2022 10:45,1095
73,28.9,12/19/2022 11:00,1110
72,28.9,12/19/2022 11:15,1125
72,28.9,12/19/2022 11:30,1140
73,28.9,12/19/2022 11:45,1155
74,28.9,12/19/2022 12:00,1170
72,28.9,12/19/2022 12:15,1185
72,28.9,12/19/2022 12:30,1200
72,28.9,12/19/2022 12:45,1215
73,28.9,12/19/2022 13:00,1230
72,28.9,12/19/2022 13:15,1245
72,28.9,12/19/2022 13:30,1260
72,29.3,12/19/2022 13:45,1275
71,29.8,12/19/2022 14:00,1290
71,29.8,12/19/2022 14:15,1305
71,29.8,12/19/2022 14:30,1320
71,29.8,12/19/2022 14:45,1335
71,29.8,12/19/2022 15:00,1350
71,29.8,12/19/2022 15:15,1365
72,29.3,12/19/2022 15:30,1380
72,29.3,12/19/2022 15:45,1395
73,29.3,12/19/2022 16:00,1410
72,29.3,12/19/2022 16:15,1425
72,29.3,12/19/2022 16:30,1440
72,29.3,12/19/2022 16:45,1455
72,29.8,12/19/2022 17:00,1470
71,29.8,12/19/2022 17:15,1485
72,29.3,12/19/2022 17:30,1500
71,29.3,12/19/2022 17:45,1515
71,29.3,12/19/2022 18:00,1530
72,29.3,12/19/2022 18:15,1545
71,29.8,12/19/2022 18:30,1560
72,29.3,12/19/2022 18:45,1575
72,29.4,12/19/2022 19:00,1590
71,29.8,12/19/2022 19:15,1605
72,29.3,12/19/2022 19:30,1620
72,29.3,12/19/2022 19:45,1635
72,29.3,12/19/2022 20:00,1650
72,29.3,12/19/2022 20:15,1665
72,29.3,12/19/2022 20:30,1680
72,29.3,12/19/2022 20:45,1695
72,28.9,12/19/2022 21:00,1710
72,28.9,12/19/2022 21:15,1725
73,28.9,12/19/2022 21:30,1740
74,28.5,12/19/2022 21:45,1755
75,28.5,12/19/2022 22:00,1770
74,28.9,12/19/2022 22:15,1785
75,28.9,12/19/2022 22:30,1800
73,29.3,12/19/2022 22:45,1815
74,29.3,12/19/2022 23:00,1830
74,29.3,12/19/2022 23:15,1845
73,29.3,12/19/2022 23:30,1860
73,29.3,12/19/2022 23:45,1875
74,29.3,12/20/2022 0:00,1890
74,28.9,12/20/2022 0:15,1905
74,29.3,12/20/2022 0:30,1920
74,28.9,12/20/2022 0:45,1935
74,28.9,12/20/2022 1:00,1950
74,29.3,12/20/2022 1:15,1965
73,28.9,12/20/2022 1:30,1980
74,28.9,12/20/2022 1:45,1995
75,28.9,12/20/2022 2:00,2010
74,28.9,12/20/2022 2:15,2025
